Indicativ,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
ot,-0.7940524673108291,-0.9649274613769815,0.35149631723813823,0.5517848831772019,-0.20206438699381116,-0.9179412809515873,-0.34561694441797447,-0.5393403161713538,0.43599648692998283,0.03267659859387616,-0.11074782669995185,0.5672279999491169,0.17639837941835695,-0.1832031566782555
ph,3.339268352707458,0.5267732945526966,-0.9703707378416252,-0.6617027972387213,-0.3150698729127823,-0.1796214445266953,-1.0974084253512961,-1.0092786412540307,0.28203499693353856,-0.08597485280192217,0.06362678027588632,0.035481184359489805,-0.3578704376769735,-0.16699421672943918
sj,-2.9561178040181635,-0.427813182741064,0.6545194236494694,0.14511681564151388,0.5331746118004886,0.09292469071270788,-0.003230223875561273,-0.10973565744528588,0.703177365370438,0.04814115437268052,0.24373570822359508,-0.23348924582118918,0.2693658440786772,0.0735612593066968
sm,-1.313782660305697,-0.4471606779358878,0.7501684856991213,0.24784646095967158,0.8220662637753969,0.32491731410508873,-0.4364883573350513,0.20635801613792293,0.5062384734121465,-0.029597340534562658,0.5076416056105688,-0.19860237183099197,0.1449897487792625,0.2136417252192476
sb,-1.2653047523649166,-0.7916778647147246,-0.482826409943537,-0.2124891600663125,-0.39400254709896854,0.19777569796045968,0.51255077972193,-0.4557346683527687,0.19177681743870553,-0.19368981492571788,0.33745605266829465,0.16393741065087147,0.21180489641910155,-0.002882430335148094
sv,1.6923142991223576,-0.7442876241107779,1.9631546097082206,-0.09256944929279753,2.0882099182578893,-0.2258179075366036,0.174368452860135,-0.4367856514922776,-1.0057954408128844,-0.3110254465766696,-0.3726094216179977,0.1973423194243164,0.38323309824037494,-0.2820003442256525
tr,-1.201557079878063,-0.4544126917527592,-0.5778063281837298,0.8867754313936212,-0.8459323131127253,-0.3572290172701289,-0.28437028105250234,-0.02537180240619218,0.32031853620665257,0.05413708866259808,-0.5493566682348368,-0.11196931691390463,-0.11362352319649792,-0.29905803110370427
tm,3.4892429335829145,-0.7649595841903464,-2.594708404487315,-0.2323893328827058,0.3002689977023801,3.3353611430170496,-0.11786590714857133,-0.6045322553253056,-0.320394515462963,-0.046792081934681366,0.24754573033091942,0.18219436025538763,0.1364545637530756,-0.21211772948072183
tl,-2.9395672140584206,-0.4470155318390094,-0.13141821556364316,0.14364236842858757,-0.5021413613403481,0.13884039463414827,0.21342173270965503,0.08412560837377242,-0.6619156657629257,-0.09926999386798356,0.000127992232659415,-0.41396459661436535,0.05658263195107018,0.1974525893029652
vl,-2.412817282995964,-0.44900118155149477,-0.10261093923566335,-0.030299839401459513,0.7660989988097134,-0.07467005638531715,0.06739592227088786,-0.38631146723785204,-0.4361319141187264,0.10954273240254882,-0.44920705290274093,-0.26139679559177587,-0.2036703660704618,0.037785318069849874
vs,-0.49298034864685936,-0.7373109948200125,0.22435799694817732,0.8229650459802863,-1.6183246733235896,-0.37104819421991214,-0.2786173013533911,-0.2927743422049732,-0.2306533213466899,-0.15381513633694763,0.7974512686940678,0.07037111570631978,-0.28416268743512685,-0.024597264878437664
vn,-0.6608375313533609,4.533236385309236,0.23387182331024667,2.6129588697596455,0.7129957878049312,0.9494390255815683,0.11314977159565737,-0.2789891031484903,0.1717707740564524,-0.33626652439364785,-0.014163023500157652,0.2629020656853589,-0.0743071735901889,0.27939610185979197
